YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,innovative_summary,innovative_score,child_poverty_direct_summary,child_poverty_direct_score
2025 Regular Session,HB0500,Procurement Reform Act of 2025,Authorizing the Secretary of General Services to delegate certain powers and duties to the Chief Procurement Officer; altering the authority of the Department of General Services to engage in or control procurement of certain equipment and services; requiring the Department of Information Technology to establish a technical procurement team; altering the authority of the Department of Transportation and the Maryland Transportation Authority to engage in procurement for certain supplies and services; etc.,"The Procurement Reform Act of 2025 revamps Maryland's State procurement processes. Key changes include altering the procurement authority of several State agencies (Department of General Services, Department of Information Technology, Department of Transportation, Maryland Transportation Authority) and establishing a technical procurement team for IT and agile procurement. The bill raises monetary thresholds for various procurement activities, mandates oral presentations for certain contracts, and clarifies pay-for-success contracting as a contract type. It introduces new requirements for contractors, including submitting workforce diversity and supplier diversity plans for certain procurement values, and requiring participation in internship and registered apprenticeship programs. Additionally, the act establishes a 'Good Labor Practices Evaluation Factor' for contract awards, transfers the Employment Works Program to the Governor's Office of Small, Minority, and Women Business Affairs, and modifies regulations and goals for small, minority, and veteran-owned businesses. It also directs a study on instituting an in-State preference for Maryland vendors.",True,2025.0,,,"Chief Procurement Officer, Department of Information Technology, Governor’s Office of Small, Minority, and Women Business Affairs, Maryland Department of Labor, Maryland Environmental Service","Maryland State agencies and units, private contractors, small businesses, minority business enterprises, veteran-owned small businesses, individuals seeking internships or apprenticeships, and workers in the State.","The bill introduces several innovative elements to State procurement. It establishes a technical procurement team specializing in IT and agile procurement, signaling a modern approach to government technology acquisition. It mandates workforce diversity and supplier diversity plans for contractors, integrating social equity goals directly into procurement. The bill also requires contractors awarded certain procurements to utilize eligible internship and registered apprenticeship programs, fostering workforce development. Furthermore, it creates a 'Good Labor Practices Evaluation Factor' for contract awards, linking procurement decisions to ethical labor practices. The clarification and structured application of 'pay-for-success contracting' for environmental outcomes also represent an innovative performance-based approach to achieving public benefits.",8,"The bill has an indirect potential to impact child poverty by creating pathways to stable employment and skill development through its mandatory internship and registered apprenticeship programs, which can lead to higher-paying jobs for young people and adults. The 'Good Labor Practices Evaluation Factor' aims to ensure fair wages and working conditions, potentially improving household incomes for families with children. Additionally, the promotion of workforce and supplier diversity among contractors could lead to more equitable economic opportunities. However, the bill does not provide direct financial assistance or specific services aimed at children or families in poverty, making its impact indirect.",6
2025 Regular Session,HB0502,Office of Disability Employment Advancement and Policy and Maryland as a Model Employer Initiative - Established,"Establishing the Office of Disability Employment Advancement and Policy within the Department of Disabilities; establishing the Maryland as a Model Employer Initiative within the Office of Disability Employment Advancement and Policy to facilitate efforts that improve outcomes in the hiring, recruitment, retention, and advancement of people with disabilities in the State government workforce; authorizing the Governor for fiscal year 2027, to include $250,000 in the annual budget bill for the Office; etc.","This bill establishes the Office of Disability Employment Advancement and Policy within the Department of Disabilities and the Maryland as a Model Employer Initiative. The Initiative aims to improve outcomes in hiring, recruitment, retention, and advancement of people with disabilities in the State government workforce through promoting best practices, providing training, assisting agencies, and evaluating employment policies.",True,2026.0,,,Office of Disability Employment Advancement and Policy within the Department of Disabilities,"People with disabilities, particularly job seekers with disabilities and employees with disabilities in the State government workforce.","The program establishes an office and an initiative to focus on improving employment outcomes for people with disabilities in state government. While the goal is important, the approaches (outreach, training, policy evaluation, data collection) are standard government functions rather than employing new technologies or highly novel governmental approaches.",3,"The program aims to increase employment opportunities for people with disabilities in state government. While this could lead to increased household income for individuals and their families, thereby indirectly potentially reducing child poverty if the employed individuals have children, it is not directly targeted at child poverty alleviation.",4
2025 Regular Session,HB0504,Excellence in Maryland Public Schools Act,Authorizing local governing bodies to exceed certain tax and revenue limitations for a certain purpose; altering the source of funds for the Blueprint for Maryland's Future Fund to include the interest earnings of the Academic Excellence Fund; authorizing the Department to establish a national teacher recruitment campaign; establishing the Academic Excellence Program in the Department to address critical academic needs in public schools; requiring local school systems to develop certain countywide community school implementation plans; etc.,"This bill, known as the ""Excellence in Maryland Public Schools Act,"" makes various changes to education funding, programs, and policies in Maryland. It authorizes local governments to exceed certain tax limits for education funding, revises per-pupil funding definitions for various programs, and includes interest earnings from the Academic Excellence Fund in the Blueprint for Maryland’s Future Fund. The bill directs county boards to provide funding for the Career Counseling Program for Middle and High School Students and requires the Accountability and Implementation Board to report on its effectiveness. It modifies the Concentration of Poverty School Grant Program, allowing county boards more flexibility in spending and requiring a statewide evaluation. The bill also enhances the school leadership training program, authorizes a national teacher recruitment campaign, establishes the Maryland Teacher Relocation Incentive Grant, and delays the phase-in of teacher career ladder classroom time requirements. It alters appropriations for the Coordinated Community Supports Partnership Fund, expands the definition of wraparound services for community schools, and requires local school systems to develop countywide community school implementation plans. Furthermore, the bill establishes the Academic Excellence Program and Fund in the State Department of Education, alters the purpose and eligibility criteria of the Grow Your Own Educators Grant Program to emphasize experiential learning, and prohibits local school systems from reducing teacher candidate compensation. Lastly, it exempts digital tools utilizing artificial intelligence from certain procurement rules for a period and mandates a study of special education funding.",True,2025.0,2029.0,,Maryland State Department of Education; Accountability and Implementation Board; local workforce development boards; county boards of education,"Local governing bodies, county boards of education, local school systems, teachers, school leaders, students (especially those in high-poverty schools, English learners, and those with disabilities), families, community schools, workforce development boards, institutions of higher education, and the general public.","The bill introduces several innovative approaches. It authorizes the State to establish a national teacher recruitment campaign and a Maryland Teacher Relocation Incentive Grant to address teacher shortages, which is a modern and direct approach. The newly established Academic Excellence Program focuses on direct coaching support for teachers and administrators using evidence-based practices, overseen by regional managers, targeting schools most in need. The Grow Your Own Educators Grant Program is redefined to prioritize on-the-job experiential learning, including teacher apprenticeships. Additionally, for a limited period, the bill exempts digital tools utilizing artificial intelligence for student learning from certain procurement rules, signaling an openness to integrating new technologies in education.",8,"The bill has a high potential for direct impact on child poverty primarily through its significant modifications and support for the Concentration of Poverty School Grant Program, which directly funds resources and wraparound services in schools with a high percentage of low-income students. The expanded definition of wraparound services further enhances support for students and families in community schools, often located in high-poverty areas. The Academic Excellence Program is designed to prioritize schools with low proficiency rates and declining achievement, which frequently correlates with areas of high child poverty, aiming to improve educational outcomes for these vulnerable students. Efforts to recruit and retain teachers, such as the Grow Your Own Educators Grant and Relocation Incentive Grant, specifically prioritize high-needs schools and those with a high concentration of poverty, ensuring more qualified educators serve these communities.",9
2025 Regular Session,HB0506,Chesapeake Bay Legacy Act,"Establishing the Maryland Leaders in Environmentally Engaged Farming (LEEF) Program; establishing the Maryland Leaders in Environmentally Engaged Farming (LEEF) Program Fund to support actions associated with the Program's purpose; altering the definition of ""healthy soils"" for purposes of the Maryland Healthy Soils Program; exempting certain holders of certain fishing licenses from the requirement to obtain a food establishment license from the Maryland Department of Health; establishing the Water Quality Monitoring Program; etc.","This bill, known as the Chesapeake Bay Legacy Act, establishes the Maryland Leaders in Environmentally Engaged Farming (LEEF) Program to incentivize farmers to adopt conservation and community best practices, supporting Chesapeake Bay restoration, climate change mitigation, and farm profitability. It also creates a dedicated fund for the LEEF Program. The bill establishes a Water Quality Monitoring Program within the Department of Natural Resources to improve data collection and inform policy. It modifies fisheries management plan requirements, streamlines permitting for submerged land leases, and authorizes the Department of Natural Resources to lease land for healthy soils and regenerative agricultural practices. Additionally, it establishes a process to develop plans for and expedite permitting for projects under the Whole Watershed Restoration Partnership and requires the Department of the Environment to authorize water quality trading credits for oyster restoration projects.",True,2025.0,2030.0,4500000.0,"Maryland Department of Agriculture, Maryland Department of Natural Resources, Maryland Department of the Environment","Farmers, commercial and recreational fishing participants, aquaculture leaseholders, property owners, underserved communities, food banks, non-profit organizations, the general public interested in environmental quality and recreation.","The bill introduces several innovative approaches, including a multi-tiered incentive program (LEEF) for farmers that integrates environmental conservation with community engagement, food security, and climate resilience through practices like on-farm renewable energy and mentoring. It modernizes water quality monitoring with up-to-date scientific technologies and establishes a streamlined, multi-agency permitting process and a public permit tracking dashboard for whole watershed restoration projects. Furthermore, it allows for the generation of water quality trading credits from oyster restoration, offering a new financial incentive for environmental improvements.",8,The LEEF Program directly addresses food insecurity by incentivizing farmers to partner with food banks or nonprofit organizations and participate in programs like the Farmers' Market Nutrition Program. It also promotes regenerative practices that support 'culturally important food and climate justice programs and initiatives' and facilitates 'work experience focused on agriculture in underserved communities.' These aspects have the potential to directly alleviate food insecurity and provide economic opportunities in communities that may experience higher rates of child poverty.,6
2025 Regular Session,HB0507,State Contracts - Prohibited Provisions,Clarifying a prohibition on including in State contracts provisions pertaining to limitations of liability for damage to real or tangible personal property; and clarifying a prohibition on including in State contracts provisions limiting the recovery of costs related to the use of replacement contractors under certain circumstances.,"This bill clarifies prohibitions on certain provisions in State contracts in Maryland. Specifically, it clarifies that State contracts cannot limit liability for damage to real property or tangible personal property of the State due to negligence or other tortious conduct, and cannot limit the State's ability to recover the increased cost of using a replacement contractor if the original contractor fails to perform.",False,2025.0,,,"All Maryland State agencies involved in contracting, with oversight from the Department of General Services regarding State Finance and Procurement.",The State of Maryland and any individuals or entities entering into contracts with the State.,"This bill is not innovative. It clarifies existing legal provisions related to contract terms and liability, rather than introducing new technologies or novel approaches to government services.",1,"This bill has no direct impact on child poverty. It addresses technical legal provisions within State contracts, which do not directly provide services, financial aid, or support to children or families experiencing poverty.",1
2025 Regular Session,HB0508,State Procurement Preferences - Blind Industries and Services of Maryland - Packaging and Repackaging,Requiring a State or State aided or controlled entity to require a prime contractor to procure certain janitorial products packaged or repackaged by Blind Industries and Services of Maryland.,"This bill requires State or State-aided entities to mandate that prime contractors, when providing janitorial services, procure janitorial products that are packaged or repackaged by Blind Industries and Services of Maryland, provided these products are available. This expands an existing procurement preference to include packaging and repackaging services.",False,,,,State or State aided or controlled entities,"Blind Industries and Services of Maryland, individuals who are visually impaired and employed by Blind Industries and Services of Maryland, prime contractors providing janitorial services to the State, and State agencies.","This bill expands an existing procurement preference to include packaging and repackaging services by Blind Industries and Services of Maryland. While it utilizes procurement as a tool to support a specific population, it does not introduce new technologies or novel governmental approaches; rather, it is an incremental adjustment to an established preference.",2,"The bill expands procurement preferences, which could lead to increased employment opportunities and stable income for individuals with visual impairments working at Blind Industries and Services of Maryland. This indirect support for families could potentially alleviate child poverty for those families, but it is not a direct program aimed at children experiencing poverty.",4
2025 Regular Session,HB0509,Maryland Inventory of Cemeteries and Burial Sites Workgroup - Establishment,"Establishing the Maryland Inventory of Cemeteries and Burial Sites Workgroup for the purpose of studying issues related to the establishment and maintenance of a State cemetery inventory system; and requiring the Workgroup to report its findings and recommendations to the Governor and the General Assembly by December 1, 2025.","This bill establishes the Maryland Inventory of Cemeteries and Burial Sites Workgroup to study and make recommendations regarding the creation and maintenance of a State cemetery inventory system. The Workgroup will identify definitions, evaluate current documentation practices, assess systems in other states, propose data collection categories, recommend a responsible entity, determine costs, and suggest funding sources for a State inventory system and a related grant program.",False,2025.0,2026.0,,"Maryland Inventory of Cemeteries and Burial Sites Workgroup, with staff support from the Maryland Historical Trust and the Office of Cemetery Oversight.","The Maryland Historical Trust, Maryland Office of Cemetery Oversight, Maryland Commission on African American History and Culture, Coalition to Protect Maryland Burial Sites, Office of Cultural Resources in the Maryland Department of Transportation, Preservation Maryland, Maryland State Archives, local governments, local genealogical and historical organizations, local descendant communities, local cemeteries, and religious cemeteries.","The program is innovative in its structured approach to consolidating and standardizing cemetery and burial site information across the state. It involves evaluating existing documentation practices, studying best practices from other states, designing a public search function, and considering a grant program to assist local entities. While not employing entirely new technologies, it applies modern inventory and data management principles to a cultural heritage domain.",6,This bill focuses on historical preservation and the establishment of a State cemetery inventory system. It does not have any direct provisions or mechanisms that would impact child poverty.,1
2025 Regular Session,HB0512,Frederick County - Barbershop and Beauty Salon Beer and Wine License - Alterations,Increasing from 5 to 6.5 ounces of wine by the glass that a holder of a barbershop or beauty salon beer and wine license in Frederick County may provide to a certain customer for on-premises consumption.,"This bill amends the Alcoholic Beverages and Cannabis Article to increase the amount of wine that barbershops and beauty salons in Frederick County, holding a specific beer and wine license, may provide to customers for on-premises consumption. The maximum amount of wine by the glass is increased from 5 ounces to 6.5 ounces. This change applies when customers are receiving services or attending fundraising events at these establishments.",False,2025.0,,,Frederick County Board of License Commissioners,"Barbershop and beauty salon owners in Frederick County, and their customers.","This bill makes a minor regulatory adjustment to existing alcoholic beverages licenses in Frederick County, specifically altering the permitted wine serving size for barbershops and beauty salons. It does not introduce new technologies or novel approaches to government.",1,"This bill solely focuses on altering the allowable serving size of wine in specific businesses (barbershops and beauty salons) in Frederick County. It does not establish any programs, services, or financial support directly aimed at addressing child poverty.",1
2025 Regular Session,HB0513,Crimes Relating to Animals - Restrictions on Keeping Roosters,"Prohibiting, beginning January 1, 2027, a certain person from keeping a rooster movement-constrained through use of a certain enclosure or tether, subject to certain exceptions; establishing that a violation of the Act is a civil offense; and providing the Act may be enforced by any State or local law enforcement officers or local animal control authority for the jurisdiction where the violation occurs.","This bill prohibits keeping roosters in a movement-constrained manner, such as in enclosures or tethered, starting January 1, 2027. Exceptions are provided for commercial poultry producers, public and nonpublic schools, government-operated animal shelters, animal welfare organizations, and members of 4-H or Future Farmers of America programs. Individuals who kept more adult hens than roosters in the preceding 6 months are also exempt. Violations are civil offenses, subject to a warning for a first offense, a civil penalty of up to $500 for a second offense, and up to $1,000 for a third or subsequent offense. The Department (likely Agriculture) is tasked with adopting regulations and may authorize exceptions to the prohibition and cooperate in enforcement.",False,2027.0,,,"State and local law enforcement officers, local animal control authorities, and the Department of Agriculture (for regulations and authorization of exceptions).","Individuals and entities in Maryland who keep roosters, particularly those who keep them in movement-constrained enclosures or tethered, excluding commercial poultry producers, schools, government animal shelters, animal welfare organizations, and 4-H/FFA members.",This bill primarily enacts a regulatory change regarding animal keeping practices and does not employ new technologies or fundamentally new approaches to government. Enforcement relies on traditional law enforcement and animal control methods.,1,This bill focuses on animal welfare and restrictions on keeping roosters. It does not directly address or implement programs aimed at alleviating child poverty.,1
2025 Regular Session,HB0514,Health Occupations - State Board of Chiropractic Examiners - Revisions,"Altering certain provisions of law governing the State Board of Chiropractic Examiners and the practice of chiropractic in the State related to Board membership, licensure of chiropractors, the discipline of chiropractors, and the denial of licenses to applicants; authorizing the Board to inspect chiropractor offices under certain circumstances; and requiring the Board to require a licensee or applicant to submit to an examination by a health care provider under certain circumstances.","This bill revises laws governing the State Board of Chiropractic Examiners and the practice of chiropractic in Maryland. It alters provisions related to Board membership, chiropractic licensure requirements, disciplinary actions against chiropractors, and the denial of licenses. Key changes include authorizing the Board to conduct unannounced inspections of chiropractor offices under specific complaint circumstances and requiring licensees or applicants to submit to examinations by a health care provider if the Board believes they may cause harm. It also establishes regulations for preceptorships and updates examination requirements.",False,2025.0,,,State Board of Chiropractic Examiners,"Licensed chiropractors, applicants for chiropractic licenses, chiropractic students, and the general public receiving chiropractic services in Maryland.","The bill primarily updates existing regulatory frameworks, definitions, and procedures for the practice of chiropractic and the State Board of Chiropractic Examiners. While it introduces new regulatory tools like unannounced office inspections for specific complaints and mandatory health care provider examinations under certain conditions, these are enhancements to existing oversight rather than innovative technologies or novel approaches to government services.",2,"This bill focuses on the regulation, licensure, and discipline within the chiropractic profession. It does not establish any programs or initiatives designed to directly address or alleviate child poverty. Its impact on child poverty would be negligible and indirect, through maintaining professional standards for healthcare providers.",1
2025 Regular Session,HB0515,Anne Arundel County - Alcoholic Beverages Licenses - Veterans' Organizations,"Authorizing a certain holder of a Class C beer, wine, and liquor license in Anne Arundel County to convert the license to a Class C (veterans' organization) license; reducing from $400 to $300 the annual license fee for a Class C (veterans' organization) license; authorizing the Board of License Commissioners for Anne Arundel County to provide application and administrative fee discounts to certain licensees and applicants; and authorizing a Class C (veterans' organization) licensee to operate on Sunday without a Sunday license.","This bill modifies alcoholic beverages licenses in Anne Arundel County for veterans' organizations. It authorizes holders of Class C beer, wine, and liquor licenses that qualify as veterans' organizations to convert their licenses to a Class C (veterans' organization) license. The bill also reduces the annual license fee for a Class C (veterans' organization) license from $400 to $300, and allows the Board of License Commissioners for Anne Arundel County to provide application and administrative fee discounts to these organizations. Additionally, it permits Class C (veterans' organization) license holders to operate on Sunday without needing to obtain a separate Sunday license.",False,2025.0,,,Board of License Commissioners for Anne Arundel County,"Veterans' organizations in Anne Arundel County that hold or are eligible for Class C alcoholic beverages licenses, and their members.","This bill focuses on administrative adjustments to alcoholic beverage licensing for veterans' organizations, including fee reductions, license conversions, and extended operating hours. It does not introduce new technologies or innovative government approaches, but rather streamlines existing regulatory processes for a specific group.",1,This bill pertains to alcoholic beverage licensing and operational rules for veterans' organizations. There are no provisions within the bill that directly address or aim to alleviate child poverty. The changes are regulatory and administrative for specific entities.,1
2025 Regular Session,HB0516,Motor Vehicles - Automated Enforcement Programs - Privacy Protections,"Requiring a custodian of recorded images produced by certain automated enforcement systems to deny inspection of the images, subject to certain exceptions; prohibiting certain State and local agencies from using a recorded image or associated data from an automated enforcement system subject to certain exceptions; and establishing certain requirements and authorizations for the removal and destruction of recorded images and associated data produced by an automated enforcement system.","This bill significantly enhances privacy protections for individuals whose images are captured by automated traffic enforcement systems in Maryland. It requires custodians of recorded images to deny inspection, with specific exceptions for the person cited or in legal proceedings. It prohibits State and local agencies from accessing or using recorded images or associated data without a warrant, subpoena, or court order, unless for an appropriate traffic enforcement purpose, or under specific documented circumstances for legitimate law enforcement purposes. The bill establishes strict requirements for the immediate removal and destruction of data not constituting a violation and limits the retention of violation data to a maximum of 1 year after adjudication or 5 years after capture. Crucially, it prohibits the use of biometric identifying technology, including facial recognition, and restricts the sale, transfer, or sharing of recorded images and associated data to outside parties, except under very limited conditions.",False,2025.0,,,State Police Department; State Highway Administration; local police departments; other local agencies that implement and operate automated enforcement programs; Chief Judge of the District Court; custodians of recorded images.,Motor vehicle operators and owners in Maryland; individuals whose images or vehicle data are captured by automated enforcement systems; State and local police departments; State Highway Administration; and local agencies operating automated traffic enforcement programs.,"The bill addresses privacy concerns stemming from existing automated enforcement technologies by establishing new, specific legal frameworks and operational requirements. While the core automated enforcement technology is not new, the bill's explicit prohibition of biometric identifying technology like facial recognition and its stringent data retention and sharing restrictions represent a progressive legislative approach to protecting individual privacy in an increasingly surveilled environment. It introduces new regulatory safeguards rather than new technological solutions or governmental service delivery methods.",5,"This bill focuses on privacy protections related to automated traffic enforcement systems and does not contain any provisions directly aimed at addressing child poverty. Its impact on child poverty would be indirect, if any, through general economic effects of civil penalties or privacy protection benefits.",1
2025 Regular Session,HB0517,Workgroup on the Reorganization of the Maryland Transit Administration,"Establishing the Workgroup on the Reorganization of the Maryland Transit Administration to study reorganizing the Maryland Transit Administration; requiring the Workgroup to report its findings and recommendations to the Governor and the General Assembly on or before December 1, 2025; and requiring the Department of Transportation, in consultation with the Department of Legislative Services, to submit to the President of the Senate and the Speaker of the House draft legislation to effectuate the recommendations of the Workgroup.","This bill establishes the Workgroup on the Reorganization of the Maryland Transit Administration. The Workgroup is tasked with studying the potential for reorganizing the Maryland Department of Transportation and the Maryland Transit Administration. This study will include examining options for local Baltimore City transit services (light rail, subway, and bus), contractual obligations, and governance changes to ensure appropriate Baltimore City oversight. The Workgroup is required to analyze alternative reorganization plans, including their costs and benefits, and ensure that any proposed plan does not reduce funding for local Baltimore City transit services. The Workgroup will receive $150,000 for consulting services and is required to report its findings and recommendations to the Governor and the General Assembly by December 1, 2026, along with draft legislation to implement the recommendations.",True,2025.0,2027.0,150000.0,"The Workgroup on the Reorganization of the Maryland Transit Administration is established, with the Secretary of Transportation designating its chair. The Department of Legislative Services and the Department of Transportation are responsible for providing staff and support, and the Department of Transportation is responsible for submitting draft legislation.","The Maryland Transit Administration, the Maryland Department of Transportation, members of the General Assembly, local Baltimore City transit service users (light rail, subway, bus), statewide transit service users (MARC, Purple Line, commuter bus), and the local metropolitan planning organization for Baltimore City.","The bill establishes a workgroup to study the reorganization of a state transit administration. While the potential outcomes of the reorganization could lead to new governance structures or improved service delivery, the program itself, which involves forming a study group, is a standard governmental approach and does not employ new technologies or particularly novel approaches to government operations.",2,"The program's potential impact on child poverty is indirect. By studying and potentially optimizing transit services, especially ensuring that funding for local Baltimore City transit is not reduced, it could contribute to better access to education, employment, and essential services for low-income families. Improved transit accessibility can indirectly alleviate financial burdens and enhance opportunities for families, thereby indirectly impacting child poverty. However, this is an organizational study, not a direct intervention for poverty alleviation.",3
2025 Regular Session,HB0527,Maryland Transit Administration - Purple Line - Free Ridership and Promotional Materials and Services,"Requiring the Maryland Transit Administration to develop and implement a program providing for the first month after transit service begins on the Purple Line, free ridership on Purple Line transit vehicles to individuals residing within a one-quarter-mile radius of the Purple Line track; and requiring the Administration to include, beginning on October 1, 2025, for 3 months after service on the Purple Lines begins promotional materials and services at no cost to small businesses located within a one-quarter-mile radius of the Purple Line track.","This bill requires the Maryland Transit Administration to implement a program providing free ridership on Purple Line transit vehicles for the first 3 months after service begins to individuals residing within a one-quarter-mile radius of the Purple Line track. It also requires the Administration to provide free promotional materials and services to small businesses located within a one-quarter-mile radius of the Purple Line track, starting October 1, 2025, and lasting until 3 months after transit service begins.",True,2025.0,,,Maryland Transit Administration,Individuals residing within a one-quarter-mile radius of the Purple Line track and small businesses located within a one-quarter-mile radius of the Purple Line track.,"The program provides temporary free public transit and promotional services to local small businesses surrounding a new transit line. While beneficial for community engagement and local economic support, these are fairly standard approaches to introducing new infrastructure and are not highly innovative in terms of new technologies or groundbreaking government methods.",3,"The program offers free public transit, which directly reduces transportation costs for families, potentially freeing up household income. This can significantly alleviate financial burdens for low-income families with children and improve their access to employment, education, healthcare, and other essential services. Support for small businesses could also indirectly create local job opportunities, further benefiting families.",7
2025 Regular Session,HB0528,Baltimore County - Vehicle Laws - Private Roadways in Residential Communities,"Prohibiting, from October 1, 2025, to July 1, 2028, a person from driving a motor vehicle in violation of certain provisions of the Maryland Vehicle Law on private roadways in a certain residential community in Baltimore County; authorizing, from October 1, 2025, to July 1, 2028, a police officer to enforce the vehicle law on private roadways in a certain residential community in Baltimore County; and prohibiting a person from driving a motor vehicle in violation of the Act on any roadway located in certain areas of Calvert County.","This bill temporarily allows Baltimore County police officers to enforce Maryland Vehicle Law on private roadways within the Queen Anne Village Community in Owings Mills. This authority will be in effect from October 1, 2025, to July 1, 2028. The Baltimore County Police Department is also required to report on the act's implementation by September 1, 2028.",False,2025.0,2028.0,,Baltimore County Police Department,"Residents of the Queen Anne Village Community in Owings Mills, Baltimore County, and anyone driving on private roadways within that community.","This bill introduces a temporary and localized change in jurisdiction for vehicle law enforcement. It does not employ new technologies or fundamentally new approaches to government, but rather extends existing enforcement powers to specific private roads for a limited time.",1,This bill focuses solely on the enforcement of vehicle laws on private roadways in a specific community. It has no direct mechanisms or provisions that would impact child poverty.,1
2025 Regular Session,HB0533,Peace Orders and Protective Orders – Military Protection Orders,Authorizing a judge to consider whether a military protection order has been issued against a respondent when determining whether to grant a temporary peace order or a temporary protective order; and requiring a law enforcement officer to notify a certain law enforcement agency that an individual may have violated a military protection order under certain circumstances.,"This bill amends Maryland law regarding peace orders and protective orders to allow judges to consider whether a military protection order has been issued against a respondent when determining whether to grant a temporary peace order or a temporary protective order. Additionally, it requires law enforcement officers to notify the relevant law enforcement agency if they have probable cause to believe a service member has violated a military protection order entered into the Federal Bureau of Investigation's National Crime Information Center (NCIC) database.",False,2025.0,,,"Maryland Courts (Judges), Law Enforcement Officers, and Law Enforcement Agencies.","Individuals seeking peace orders or protective orders, respondents to such orders (especially service members subject to military protection orders), and law enforcement agencies.","The bill enhances the existing legal framework by formally integrating military protection orders into the criteria considered by judges for issuing temporary peace and protective orders. It also mandates inter-agency notification for law enforcement when a service member is found in violation of a military protection order listed in the NCIC database, leveraging national information systems for better enforcement of protection orders.",6,"This bill focuses on enhancing the legal framework for peace and protective orders, which indirectly contributes to family safety and stability. While increased safety and stability can have positive ripple effects on children, it does not directly address the economic factors contributing to child poverty, such as income, employment, or housing support.",2
2025 Regular Session,HB0535,Abandoned and Neglected Cemeteries Fund - Establishment,"Establishing the Abandoned and Neglected Cemeteries Fund to provide for the care, preservation, maintenance, and restoration of abandoned and neglected cemeteries in the State; authorizing the Governor to include in the annual budget bill an appropriation of $250,000 to the fund; and requiring an annual report by September 30 to the General Assembly on the donations to the Fund and promotional efforts undertaken by money from the Fund.","This bill establishes the Abandoned and Neglected Cemeteries Fund, administered by the Secretary of Labor, to provide for the care, preservation, maintenance, and restoration of abandoned and neglected cemeteries across Maryland. The Governor is authorized to include an annual appropriation of $250,000 to the fund.",True,2025.0,,250000.0,Maryland Department of Labor,"Abandoned and neglected cemeteries in Maryland, historical preservation organizations, local communities, and individuals with ancestors or family members interred in such cemeteries.","The program establishes a dedicated fund for the care and maintenance of abandoned and neglected cemeteries. This represents a traditional government approach to allocating resources for preservation and maintenance, rather than employing new technologies or innovative governance methods.",2,This bill focuses solely on the establishment of a fund for the care and maintenance of abandoned and neglected cemeteries. There are no direct provisions or mechanisms within the bill that address or impact child poverty.,1
2025 Regular Session,HB0538,Department of Human Services - Federal Commodity Supplemental Food Program - Administration,Requiring the Family Investment Administration in the Department of Human Services to be the central coordinating and directing agency of the federal Commodity Supplemental Food Program using certain funds and resources; and repealing the requirement that the Secretary of Aging administer the Program.,"This bill transfers the administration of the federal Commodity Supplemental Food Program (CSFP) from the Secretary of Aging to the Family Investment Administration within the Department of Human Services. The Family Investment Administration will now be the central coordinating and directing agency for this program, utilizing funds and resources from the United States Department of Agriculture.",False,2025.0,,,Family Investment Administration in the Department of Human Services,"Low-income individuals, including pregnant and postpartum women, infants, children up to age six, and elderly people who are eligible for the federal Commodity Supplemental Food Program.","This bill is an administrative reorganization, transferring an existing federal program's oversight between state agencies. It does not introduce new technologies, services, or novel approaches to government. The focus is on streamlining administration rather than innovative service delivery.",1,"The bill's potential impact on child poverty is indirect. It facilitates the administration of the existing federal Commodity Supplemental Food Program (CSFP), which provides supplemental food to low-income children up to age six. By centralizing its administration within the Department of Human Services, there's a potential for improved coordination and efficiency in delivering these benefits, which could indirectly support families experiencing child poverty. However, it does not create new programs or increase funding for these benefits.",4
2025 Regular Session,HB0541,Department of Commerce - Nonprofit Organizations Navigator - Established,"Establishing a nonprofit organizations navigator within the Department of Commerce to provide technical assistance and work with nonprofits and units of State government to resolve complexities and delays in State grant-making processes, collect and share certain information, and represent nonprofit organizations' interests and concerns as a member of the Maryland Efficient Grant Application Council; and requiring the Department to report to certain committees of the General Assembly on the implementation of the navigator.","This bill establishes a Nonprofit Organizations Navigator within the Maryland Department of Commerce. The Navigator will provide technical assistance to nonprofit organizations to access and apply for state grant programs, help resolve procedural issues in grant processes, and share information on federal, state, and local grant opportunities. The bill also amends the composition of the Maryland Efficient Grant Application Council to include the Nonprofit Organizations Navigator as a nonvoting member, aiming to streamline and improve the efficiency of state grant-making processes for nonprofits.",True,2025.0,2027.0,,Maryland Department of Commerce,"Nonprofit organizations in Maryland, state grant-making agencies, and indirectly, the populations served by these nonprofit organizations.","The program introduces a dedicated ""Navigator"" role within the Department of Commerce to centralize and streamline support for nonprofit organizations seeking grants. This approach aims to reduce administrative burden and improve access to funding through procedural changes and technical assistance. While not utilizing cutting-edge technology, it represents an innovative approach to government-nonprofit engagement and efficiency.",5,"This program does not directly address child poverty. However, by enhancing the ability of nonprofit organizations to secure and manage grant funding more efficiently, it could indirectly benefit children and families in poverty. Many nonprofits provide essential services that support vulnerable populations, so improved funding access may lead to expanded or better services that could impact child poverty.",3
